,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,WineStyle,Full_Name
678,Marquis de Calon Saint-Estèphe 2014,France,Saint-Estèphe,Château Calon-Ségur,3.9,1212,24.9,2014,red,Marquis de Calon Saint-Estèphe 2014 Château Calon-Ségur red
679,Légende (R) Bordeaux Rouge 2016,France,Bordeaux,Barons de Rothschild (Lafite),3.5,1213,12.14,2016,red,Légende (R) Bordeaux Rouge 2016 Barons de Rothschild (Lafite) red
680,Barbera d'Alba 2017,Italy,Barbera d'Alba,Fontanafredda,3.6,1213,8.59,2017,red,Barbera d'Alba 2017 Fontanafredda red
681,Estate Shiraz 2017,Australia,Clare Valley,Taylors / Wakefield,3.8,1215,9.5,2017,red,Estate Shiraz 2017 Taylors / Wakefield red
682,Da Vinci Chianti 2017,Italy,Chianti,Cantine Leonardo da Vinci,3.5,1218,7.5,2017,red,Da Vinci Chianti 2017 Cantine Leonardo da Vinci red
683,Terroir du Trias Bandol Rouge 2015,France,Bandol,Domaine de Terrebrune,4.1,122,30.9,2015,red,Terroir du Trias Bandol Rouge 2015 Domaine de Terrebrune red
684,Chiaramonte Nero d'Avola 2017,Italy,Terre Siciliane,Firriato,3.7,122,8.49,2017,red,Chiaramonte Nero d'Avola 2017 Firriato red
685,Pinot Noir Te Muna Road Vineyard 2017,New Zealand,Marlborough,Craggy Range,4.1,122,39.48,2017,red,Pinot Noir Te Muna Road Vineyard 2017 Craggy Range red
686,Titolo 2016,Italy,Aglianico del Vulture,Elena Fucci,3.8,122,31.48,2016,red,Titolo 2016 Elena Fucci red
687,Johanneshöhe Blaufränkisch 2012,Austria,Burgenland,Prieler,3.7,122,11.09,2012,red,Johanneshöhe Blaufränkisch 2012 Prieler red
688,Sorì San Lorenzo 2013,Italy,Langhe,Gaja,4.4,122,445.0,2013,red,Sorì San Lorenzo 2013 Gaja red
689,Moncagua Malbec 2017,Argentina,Mendoza,Belasco de Baquedano,3.7,122,8.83,2017,red,Moncagua Malbec 2017 Belasco de Baquedano red
690,Passiata 2017,Italy,Sicilia,Stemmari,3.9,122,6.68,2017,red,Passiata 2017 Stemmari red
691,Montagne-Saint-Émilion 2015,France,Montagne-Saint-Émilion,Château Tour Calon,3.6,122,14.36,2015,red,Montagne-Saint-Émilion 2015 Château Tour Calon red
692,Médoc 2010,France,Médoc,Château Cardus,3.7,122,14.9,2010,red,Médoc 2010 Château Cardus red
693,Sidereus 2016,Italy,Toscana,Cantine del Borgo Reale,3.8,122,26.81,2016,red,Sidereus 2016 Cantine del Borgo Reale red
694,Haut-Médoc 2014,France,Haut-Médoc,Château Saint-Ahon,3.9,122,18.42,2014,red,Haut-Médoc 2014 Château Saint-Ahon red
